m-M,redshift
40.61,0.2492
40.31,0.249436
40.36,0.2496
40.76,0.2499
40.64,0.25
40.48,0.2502
41.99,0.250225
40.59,0.2505
42.08,0.250867
40.72,0.25098
40.65,0.2511
40.52,0.2512
40.64,0.251315
40.25,0.251725
40.64,0.252
40.48,0.252054
40.47,0.252225
40.31,0.252226
40.44,0.25227
40.22,0.252512
40.11,0.252791
40.46,0.252828
40.27,0.253
40.62,0.253291
40.32,0.253644
40.25,0.253653
40.24,0.253699
40.48,0.2537
40.29,0.253975
40.5,0.254
42.68,0.254494
40.69,0.2545
40.18,0.254504
40.74,0.254586
40.92,0.2546
41.27,0.254845
40.27,0.2553
40.64,0.255354
40.56,0.255413
40.7,0.255439
42.09,0.255584
40.39,0.255983
40.39,0.256085
41.47,0.25664
40.52,0.2569
40.68,0.2575
39.9,0.258
40.09,0.258234
40.62,0.2587
40.4,0.258847
40.6,0.258864
39.61,0.25888
40.72,0.259043
42.42,0.259608
40.89,0.259916
40.65,0.25997
39.87,0.26
40.66,0.2604
40.51,0.260743
40.69,0.2608
40.8,0.260941
40.94,0.261248
40.97,0.2616
40.77,0.261899
40.76,0.26192
41.11,0.262
41.01,0.262001
40.42,0.262254
41.19,0.262438
41.14,0.262538
40.44,0.262587
40.66,0.262783
40.64,0.2629
40.11,0.263
40.66,0.263077
40.14,0.2631
40.52,0.263156
40.85,0.2633
41.94,0.2635
40.75,0.263952
40.74,0.264
40.67,0.264127
40.57,0.2642
40.71,0.264695
42.31,0.264749
42.42,0.264942
40.9,0.265
40.84,0.265158
39.99,0.26526
40.71,0.26531
40.62,0.2654
40.9,0.265638
40.78,0.265672
40.63,0.266
40.74,0.266012
41,0.2667
40.56,0.266984
41.67,0.267073
40.64,0.2672
42.05,0.267246
41.03,0.267532
40.67,0.267938
40.58,0.268
40.47,0.268413
40.61,0.268672
40.55,0.2689
40.03,0.269
40.43,0.269329
40.58,0.2696
40.39,0.27
40.36,0.270007
40.83,0.27009
40.83,0.2701
40.18,0.270473
40.57,0.2707
40.82,0.27095
40.6,0.271354
40.44,0.2716
40.76,0.2719
40.8,0.272
40.37,0.2731
40.27,0.273141
40.83,0.273265
41.05,0.273434
41.02,0.273548
40.66,0.2738
40.01,0.274
40.55,0.274927
40.5,0.275009
40.54,0.2754
40.88,0.2756
40.87,0.27572
41.02,0.275974
40.8,0.2764
40.8,0.277
40.12,0.2771
40.83,0.277296
40.71,0.2773
40.43,0.277326
40.58,0.277441
40.73,0.277787
40.76,0.278
41.32,0.27802
40.45,0.278103
40.49,0.278296
40.83,0.2786
40.8,0.278904
42.69,0.279179
40.61,0.279533
40.83,0.2796
40.95,0.2799
40.88,0.279997
40.12,0.28
41.94,0.280067
40.54,0.2802
40.48,0.2803
40.95,0.280494
40.66,0.280569
40.86,0.280578
40.71,0.280661
40.42,0.2807
41.11,0.280855
40.55,0.280999
40.61,0.281
40.68,0.281092
40.96,0.28139
40.7,0.281567
40.82,0.281658
40.57,0.281725
40.42,0.281762
40.85,0.281988
40.81,0.282
40.57,0.282392
41.06,0.282402
40.92,0.282787
40.58,0.2828
40.61,0.28304
40.66,0.2834
40.65,0.283961
41.02,0.284202
41.47,0.284241
41.31,0.284278
40.66,0.28462
39.71,0.285
40.84,0.285147
40.7,0.285281
40.55,0.285824
40.64,0.285847
40.18,0.285848
40.77,0.285857
40.77,0.286131
41.34,0.2862
40.93,0.286372
42.15,0.28667
41.08,0.286703
41.07,0.287
40.48,0.2871
41.11,0.287998
41.13,0.288
40.76,0.288012
40.84,0.288027
40.53,0.2881
40.95,0.2886
40.8,0.28876
40.94,0.2888
40.67,0.288815
40.48,0.289
40.78,0.289052
41.2,0.289167
41.73,0.289217
40.54,0.289396
40.85,0.289402
41.07,0.2897
41.07,0.289816
40.33,0.29
40.96,0.290028
40.81,0.2903
41.12,0.290371
40.77,0.290675
40.79,0.291
41.27,0.291263
40.84,0.291349
41.38,0.2915
40.63,0.291833
40.88,0.292
40.68,0.292197
40.95,0.292252
40.75,0.292264
40.92,0.292421
40.78,0.292837
40.83,0.2931
40.53,0.2932
41.12,0.29329
40.83,0.293488
40.59,0.293582
41.01,0.2937
40.38,0.293703
40.27,0.293922
42.65,0.2943
40.05,0.294304
41.13,0.294362
40.99,0.294615
40.26,0.294849
40.66,0.295
40.73,0.2953
41.09,0.295372
41.23,0.295639
40.47,0.295891
40.98,0.296
40.72,0.296412
40.42,0.297
40.79,0.2973
41.03,0.297526
40.49,0.298
41.01,0.298563
40.57,0.298629
41.01,0.298808
40.06,0.299
41.26,0.299006
40.22,0.299019
41.07,0.2991
40.54,0.299249
40.99,0.299569
41.29,0.2996
40.2,0.3
41.05,0.3001
40.64,0.300106
40.85,0.3003
40.69,0.300443
40.96,0.300455
40.95,0.3006
40.8,0.300656
40.72,0.300839
40.89,0.3009
40.66,0.301106
41.73,0.301222
40.89,0.301347
41.48,0.301715
41.01,0.302
40.69,0.302444
41.28,0.302507
41.07,0.30272
40.79,0.3028
40.77,0.303
41.44,0.303225
40.73,0.3037
41.41,0.303881
41.02,0.304
41.05,0.304287
40.45,0.304341
40.86,0.3044
41,0.3045
40.89,0.3048
40.25,0.304812
40.99,0.3049
41.07,0.304931
41.32,0.304942
40.63,0.305003
41.06,0.305136
41.32,0.305435
40.86,0.305661
40.94,0.305943
41.02,0.306192
40.42,0.306327
40.9,0.30637
40.39,0.3064
40.47,0.306576
40.85,0.306777
41.03,0.307
40.47,0.307205
40.91,0.307469
40.82,0.307732
40.72,0.307786
41.09,0.308008
40.31,0.30807
41.63,0.308083
40.98,0.308446
41.23,0.308529
41.82,0.308534
41.14,0.3088
41.33,0.309079
40.72,0.309131
41.21,0.309251
40.82,0.309534
40.83,0.3097
40.84,0.309838
40.19,0.31
41.12,0.3102
41.11,0.310279
40.9,0.310404
41.11,0.3105
41.18,0.3109
40.96,0.310903
41.26,0.311647
40.72,0.311973
41.22,0.311984
39.51,0.312
40.45,0.312052
41.07,0.313153
40.8,0.313563
40.52,0.314
41.19,0.3141
41.34,0.314419
40.87,0.314735
41.09,0.3153
40.65,0.315484
41.04,0.315534
40.9,0.316
41.08,0.3162
40.97,0.3163
40.82,0.316355
40.42,0.31643
40.61,0.316958
40.97,0.316961
41.21,0.317369
41.19,0.3177
41.22,0.3182
40.53,0.318671
40.89,0.318863
41.87,0.319
41.04,0.3192
40.88,0.319315
41.67,0.3195
40.71,0.319595
41.05,0.319838
41.18,0.319944
40.32,0.32
40.23,0.320204
40.99,0.320367
41.12,0.3206
41.28,0.3207
40.7,0.3212
40.09,0.321601
41.07,0.322057
40.71,0.322518
41.16,0.323
40.57,0.323264
40.59,0.323731
41.15,0.323773
41.01,0.324
40.91,0.324839
41.07,0.324952
41.39,0.325011
41.21,0.325121
40.5,0.325169
40.57,0.3257
40.95,0.326069
41.08,0.326503
41.22,0.327784
41.32,0.3281
41.15,0.3282
41.36,0.3288
41.25,0.329
41.05,0.329251
41.48,0.32941
41.02,0.329549
40.61,0.329556
40.51,0.33
40.89,0.330161
41.27,0.3302
41.34,0.3307
41.2,0.330796
41.48,0.330917
41.42,0.330932
40.85,0.330984
41.28,0.331
41.4,0.3311
40.97,0.33147
40.91,0.331565
41.12,0.331981
41.22,0.332
40.66,0.332255
40.91,0.3324
41.59,0.332633
41.21,0.332983
41.22,0.333
41.99,0.333022
41.06,0.333049
42.42,0.333177
41.18,0.333268
41.1,0.334228
41.72,0.334328
41.15,0.3346
40.54,0.335
40.94,0.33504
41.19,0.335098
41.18,0.335192
40.87,0.335217
41.25,0.335856
41.14,0.335924
41.11,0.336024
41.01,0.3361
41.28,0.336879
40.49,0.337
41.53,0.337542
41.55,0.337597
40.15,0.337755
40.93,0.338532
40.67,0.339
42.18,0.339001
41.93,0.339034
41.19,0.3391
40.94,0.3392
41.62,0.339207
41.55,0.339506
41.25,0.339527
40.37,0.3396
39.87,0.34
41.23,0.340192
41.14,0.34028
41.37,0.340292
41.38,0.34033
41.06,0.3407
41.14,0.340709
41.2,0.34098
41.29,0.3412
41.69,0.341212
40.87,0.3415
41.29,0.3417
41,0.3419
41.08,0.342403
40.46,0.342718
42.56,0.342773
40.35,0.343
40.98,0.343052
40.38,0.343067
40.8,0.3432
41.53,0.343436
41.14,0.34394
41.39,0.344401
41,0.3448
41.43,0.345246
41.22,0.345377
41.4,0.34593
40.28,0.346
40.93,0.3465
39.33,0.3468
41.33,0.346981
41.14,0.347
41.18,0.347123
40.99,0.347239
41.4,0.347576
41.17,0.347842
41.21,0.348
41.08,0.348546
41.44,0.348806
40.83,0.34916
40.95,0.349572
40.58,0.35
41.29,0.3501
41.27,0.350196
41.43,0.350224
41.25,0.350268
40.92,0.3506
41.26,0.350692
41.44,0.35072
41.27,0.351
41.46,0.3512
41.34,0.3514
41.26,0.352531
41.14,0.353082
41.61,0.353187
41.14,0.353462
41.28,0.353482
41.58,0.3537
40.57,0.354
41.87,0.355011
41.37,0.3553
41.42,0.355483
41.39,0.35647
41.18,0.356765
40.72,0.357
41.05,0.357151
40.69,0.358
41.14,0.35812
41.44,0.358376
40.61,0.3587
41.3,0.3588
41.33,0.358855
41.12,0.358926
41.23,0.359
41.43,0.359106
41.35,0.359161
41.35,0.3595
40.79,0.359576
41.48,0.359687
40.7,0.36
41.31,0.3601
41.23,0.360187
41.18,0.3606
41.53,0.361
41.74,0.361016
40.58,0.361097
41.27,0.3613
41.29,0.361309
40.52,0.361378
41.82,0.361973
41.42,0.362
41.38,0.362005
41.65,0.362084
41.59,0.362111
41.43,0.362142
41.37,0.362181
41.15,0.362207
41.67,0.362359
41.47,0.362429
41.23,0.362703
41.53,0.36289
40.35,0.363
41.41,0.363129
40.89,0.363696
41.73,0.364341
41.56,0.364455
41.61,0.364553
41.2,0.364784
41.38,0.364989
41.69,0.365
41.9,0.365265
41.39,0.365307
41.7,0.365315
41.61,0.365325
40.82,0.365467
43.42,0.365548
41.73,0.3659
41.67,0.365913
41.06,0.366
40.18,0.366238
41.95,0.366312
41.17,0.3667
41.55,0.367
41.44,0.36718
41.61,0.367298
41.43,0.36744
41.25,0.368
41.19,0.368376
41.14,0.368422
41.09,0.3688
41.5,0.368842
41.26,0.368966
40.79,0.369
40.55,0.369608
40.43,0.3698
41.11,0.37
41.47,0.3705
41.17,0.370585
41.27,0.370739
40.71,0.371
41.56,0.371044
41.59,0.371177
41.6,0.3712
41.33,0.371262
41.92,0.371489
41.02,0.371513
41.29,0.371526
41.89,0.371537
41.45,0.3716
41.48,0.371731
41.27,0.3718
41.29,0.371812
40.28,0.372
41.8,0.372057
41.32,0.372795
40.99,0.373
41.95,0.373119
41.72,0.373667
41.16,0.373829
40.19,0.374
41.69,0.374084
40.9,0.374341
40.83,0.375
41.07,0.375039
41.4,0.375042
41.37,0.375137
41.58,0.375227
41.47,0.375455
40.94,0.375584
41.67,0.375684
41.75,0.375712
41.76,0.375758
41.57,0.376684
41.07,0.3767
40.87,0.37692
41.81,0.377082
41.44,0.377305
41.11,0.377309
41.52,0.377482
41.41,0.377698
40.88,0.378
41.2,0.378093
43.77,0.378359
41.56,0.378414
41.11,0.378459
41.31,0.378479
41.17,0.37864
40.81,0.378652
41.5,0.37894
41.64,0.379401
41.85,0.379667
40.87,0.38
41.68,0.3806
40.98,0.380703
40.91,0.380767
41.53,0.381125
41.34,0.381163
41.7,0.3815
41.31,0.381584
42.31,0.381631
41.75,0.381922
40.95,0.382
41.13,0.3821
40.55,0.3824
41.72,0.382575
40.63,0.382734
41.45,0.3829
40.81,0.383011
41.44,0.383289
41.61,0.38338
41.25,0.384021
41.16,0.384125
40.87,0.384698
41.53,0.385
42.06,0.385316
41.77,0.3857
42.17,0.385981
41.35,0.38666
40.88,0.38694
41.73,0.387152
41.36,0.3874
39.59,0.387771
41.89,0.387896
41.67,0.388
41.54,0.389724
41.56,0.3898
42.1,0.39
41.23,0.390557
41.54,0.390578
41.53,0.390602
41.86,0.390807
41.45,0.391335
41.8,0.39189
42.18,0.392006
41.39,0.392801
41.46,0.393
41.51,0.393346
41.6,0.393679
41.72,0.393925
41.75,0.394
41.65,0.394218
41.73,0.394945
41.77,0.394955
41.05,0.395
41.78,0.395058
41.98,0.3951
41.76,0.3956
41.45,0.395788
41.57,0.396301
40.77,0.3965
41.42,0.396513
41.42,0.396531
41.76,0.397
41.54,0.397285
42.09,0.397867
41.3,0.3985
41.84,0.399335
41.48,0.399981
41.62,0.399991
40.87,0.4
41.45,0.400479
41.8,0.4006
41.02,0.401
41.67,0.401058
41.49,0.4012
41.3,0.401202
41.69,0.401237
41.01,0.402
42.4,0.402047
41.8,0.402256
41.42,0.402323
42,0.402736
41.96,0.402876
41.42,0.403
41.67,0.40309
41.56,0.403372
41.09,0.403882
41.73,0.404
42.02,0.4043
41.35,0.404404
41.98,0.4047
40.98,0.405
41.22,0.405473
41.62,0.405999
41.81,0.406
41.99,0.406059
42,0.406559
41.7,0.406594
41.02,0.407
41.89,0.407071
41.72,0.407113
42.01,0.407556
41.09,0.408
41.24,0.408152
41.5,0.408288
41.21,0.409
41.75,0.409255
41.6,0.4094
40.88,0.409642
41.13,0.41
41.93,0.410778
41.7,0.411
40.59,0.411625
41.94,0.412585
41.73,0.413618
41.82,0.4137
41.91,0.414257
41.03,0.415
41.59,0.415635
40.94,0.416
41.67,0.416755
40.92,0.417
41.95,0.417071
42.01,0.417805
41.93,0.418732
42.02,0.419368
41.73,0.419382
41.68,0.419444
42.06,0.419782
38.96,0.4199
41.6,0.419931
40.79,0.42
41.53,0.420066
41.76,0.4206
42.16,0.420803
41.74,0.420973
41.41,0.421
41.25,0.421165
41.2,0.421841
42.19,0.422
41.93,0.42204
40.85,0.423
42.27,0.4231
41.89,0.423438
41.73,0.4238
40.62,0.425
41.15,0.427
42.11,0.4276
41.31,0.42774
41.05,0.428
41.58,0.428635
41.18,0.428703
40.95,0.429
41.77,0.429323
41.73,0.429563
41.59,0.429997
41.63,0.43
42.11,0.4301
42.02,0.4302
42.15,0.4306
42.15,0.431112
41.65,0.431273
41.49,0.432962
40.86,0.433187
41.86,0.43386
41.49,0.434
42.05,0.434257
41.54,0.434864
42.39,0.434924
41.4,0.435327
41.74,0.435745
41.78,0.43608
41.55,0.43623
41.82,0.436471
42.14,0.4365
41.5,0.437
41.56,0.437059
41.3,0.437768
41.96,0.437935
41.99,0.438058
42.1,0.438975
41.5,0.439722
41.29,0.44
42.23,0.44093
41.76,0.441176
41.72,0.441182
41.96,0.441372
42.78,0.442
41.81,0.442393
41.82,0.4434
42.15,0.444114
41.41,0.444252
41.75,0.444784
41.59,0.446155
44.9,0.44643
41.56,0.44672
41.69,0.446989
41.96,0.4474
42.21,0.447846
42.01,0.448849
42.49,0.448918
40.99,0.449
41.74,0.449299
42.14,0.449808
40.95,0.45
41.82,0.4504
41.07,0.451
42.29,0.451021
42.06,0.451125
42.16,0.4512
41.82,0.453
41.86,0.453804
42.42,0.454146
41.72,0.454329
41.8,0.455383
41.66,0.456693
42.03,0.456731
41.42,0.45733
42.54,0.458
42.28,0.458686
41.61,0.46
40.98,0.461
42.33,0.4612
41.33,0.463
42.51,0.464
42.12,0.464547
41.09,0.465
41.82,0.465436
41.38,0.466231
43.48,0.467156
41.89,0.467976
41.82,0.468
42.1,0.468259
42.01,0.469041
42.77,0.47
41.85,0.470141
42.59,0.470359
42.79,0.470738
42.16,0.472
42.43,0.472048
42.69,0.473334
42.49,0.473755
41.73,0.474318
41.69,0.474334
41.39,0.47452
41.98,0.474885
41.98,0.476722
41.15,0.478
41.66,0.479
41.87,0.479268
42.03,0.47979
42.44,0.479807
41.45,0.48
42.3,0.4812
41.55,0.482
41.77,0.483387
41.55,0.486492
41.92,0.486695
42.07,0.487629
41.91,0.488121
42.24,0.489267
41.35,0.49
41.76,0.490074
42.48,0.490901
41.24,0.495
41.42,0.496
41.51,0.496252
41.58,0.496475
41.81,0.4967
41.31,0.49673
42.04,0.496918
42.27,0.498
42.44,0.498089
42.04,0.498802
42.41,0.499
41.16,0.5
43.97,0.502136
41.43,0.504
41.91,0.507535
41.33,0.508
42.04,0.5088
42.32,0.508965
42.26,0.509
42.54,0.509764
42.34,0.509847
42.35,0.51
42.28,0.5105
41.66,0.511
42.2,0.513851
41.52,0.514
41.77,0.516
42.66,0.516581
42.81,0.516965
41.75,0.519
42.33,0.519708
42.83,0.52
41.52,0.521
41.81,0.522
41.71,0.524
40.64,0.526
41.27,0.528
42.13,0.529984
41.23,0.53
42.05,0.5304
42.9,0.5307
42.42,0.531
41.88,0.532
41.94,0.5344
42.52,0.534776
42.4,0.53536
42.24,0.536
42.9,0.536047
41.79,0.53615
41.63,0.537
42.89,0.537555
41.96,0.54
42.27,0.5406
41.42,0.543
41.79,0.544
40.86,0.548
43.65,0.55
42.52,0.5501
42.28,0.551
42.6,0.551035
42.58,0.552
41.99,0.554141
41.36,0.557
42.07,0.558
42.05,0.55816
43.85,0.559147
41.47,0.56
42.68,0.5625
42.63,0.564
43.14,0.564901
42.4,0.566
41.43,0.568
41.45,0.568893
41.74,0.57
41.68,0.571
42.55,0.571324
43.09,0.572
42.68,0.574
42.51,0.575
41.28,0.576
42.08,0.579
42.32,0.58
41.34,0.581
41.97,0.582
41.68,0.583
42.18,0.583407
42.19,0.5842
42.34,0.585
41.68,0.587
42.29,0.587383
42.78,0.589
42.43,0.59
43.44,0.592
41.91,0.598
42.41,0.6
41.69,0.604
41.48,0.605
41.66,0.606
42.86,0.608
42.1,0.61
42.27,0.612
42.26,0.613
41.54,0.615
42.83,0.617
41.78,0.619
43.3,0.6192
42.76,0.62
42.59,0.623
41.75,0.627
42.58,0.629
42.62,0.63
41.3,0.6303
41.77,0.631
42.7,0.632
42.21,0.633
43.05,0.6338
42.69,0.638
41.03,0.639
41.7,0.64
42.69,0.642
42.28,0.643
42.68,0.645
42.96,0.647
42.61,0.647341
42.26,0.65
41.47,0.655
42.21,0.656
42.94,0.6634
42.2,0.664
42.43,0.67
42.26,0.671
41.38,0.675
42.64,0.679
42.19,0.68
41.82,0.687
41.96,0.688
42.53,0.69
42.84,0.690995
41.16,0.691
42.37,0.695
42.84,0.698
42.37,0.699
42.11,0.7
43.06,0.7002
42.65,0.701
43.04,0.702
42.88,0.7027
42.69,0.707
42.3,0.71
42.16,0.711
42.89,0.715
42.73,0.718
42.97,0.719
42.28,0.72
42.27,0.722
42.84,0.726
42.58,0.73
43.04,0.732
42.99,0.7329
43.28,0.7349
42.08,0.735
42.56,0.736
42.03,0.737
42.16,0.74
42.53,0.741
42.93,0.7441
42.93,0.745
42.24,0.75
42.99,0.751
42.2,0.752
42.47,0.756
43.07,0.757
42.75,0.76
43.13,0.763
43.49,0.766
43.39,0.767
42.96,0.7677
43,0.769
41.98,0.772
42.83,0.775
43.31,0.778
42.69,0.78
42.49,0.781
43.63,0.79
42.6,0.791
43.07,0.798
42.65,0.799
43.46,0.8
43.16,0.805
43.47,0.808
42.57,0.81
42.7,0.811
42.94,0.812
43.24,0.813
43.36,0.815
42.64,0.817
42.68,0.818
43.18,0.82
43.67,0.821
42.73,0.822
43.03,0.8274
43.17,0.83
42.6,0.833
42.77,0.836
43.81,0.838
43.68,0.8387
42.72,0.839
42.5,0.84
43.25,0.842
43.25,0.8424
43.28,0.85
43.28,0.851
42.89,0.85454
43.6,0.855
42.76,0.859
43.3,0.86
43,0.865
43.15,0.866
42.7,0.868
42.83,0.87
42.56,0.874
42.64,0.882
42.58,0.885
42.91,0.89
43.57,0.891
42.34,0.899
43.18,0.9
43.16,0.901
42.52,0.905
43.13,0.91
43.18,0.915
43.3,0.92
43.93,0.924
43.11,0.927
42.46,0.93
43.07,0.934
42.82,0.935
42.58,0.936
42.9,0.946
42.7,0.949
43.19,0.95
43.56,0.953
43.36,0.954
42.79,0.96
42.84,0.961
43.77,0.965
43.48,0.97
43.27,0.975
42.71,0.978
43.86,0.98
43.63,0.981
42.48,0.983
44.51,0.984
43.67,0.985
43.39,0.998
44.16,1
43.31,1.01
44.29,1.014
43.33,1.01891
43.12,1.02
43.43,1.02733
43.52,1.03
42.14,1.031
44.9,1.037
42.98,1.05
43.03,1.06
44.09,1.092
45.05,1.11
43.32,1.12
43.85,1.124
42.79,1.14
43.47,1.141
43.63,1.143
44.87,1.188
43.56,1.191
44.59,1.192
45.67,1.212
43.99,1.23
45.1,1.231
44.21,1.23407
43.98,1.27
43.71,1.28
43.9,1.3
43.55,1.305
45.18,1.315
45.15,1.32
44.01,1.34
44.18,1.3457
44.82,1.35
43.92,1.37
42.2,1.4
44.59,1.415
45.07,1.551
45.57,1.713
45.54,1.914
