# Spec No	Date (DD/MM/YYYY)	Time (hh:mm:ss)	Fractional day	Fractional time	Latitude	Longitude	Elev. viewing angle	Azim. viewing angle	NO2.RMS	NO2.SlCol(no2)	NO2.SlErr(no2)	NO2.SlCol(o3)	NO2.SlErr(o3)	NO2.SlCol(o4)	NO2.SlErr(o4)	NO2.SlCol(h2o)	NO2.SlErr(h2o)	NO2.SlCol(ring)	NO2.SlErr(ring)	NO2.Shift(Spectrum)	NO2.Stretch(Spectrum)1	NO2.Stretch(Spectrum)2	Fluxes 500
94	18/03/2019	10:44:24	77.4475	10.74	44	28	30	185	0.00050916	6951900000000000	358360000000000	-6.8978E+017	3.7189E+017	6.1399E+042	2.0203E+041	2.9998E+022	4.7959E+021	0.01282	0.00050403	0.0051164	-8.4989E-06	0	10163.62
95	18/03/2019	10:45:08	77.448021	10.7525	44	28	48	185	0.00056318	2212600000000000	396380000000000	1.2317E+018	4.1134E+017	1.8723E+042	2.2347E+041	-5.1241E+021	5.3047E+021	0.01588	0.00055749	0.0056374	-9.9921E-07	0	11659.07
96	18/03/2019	10:45:54	77.448542	10.765	44	28	60	185	0.00045296	1571900000000000	318810000000000	-1.2156E+018	3.3084E+017	-1.0541E+042	1.7973E+041	2.0924E+022	4.2666E+021	0.017449	0.00044839	0.0071844	8.7074E-06	0	8139.765
97	18/03/2019	10:47:15	77.449479	10.7875	44	28	89	185	0.00016126	826880000000000	113500000000000	-2.9688E+017	1.1778E+017	-1.8194E+040	6.3987E+040	1.1172E+022	1.5189E+021	0.00087907	0.00015963	0.0049829	-2.1995E-05	0	3250.711
98	18/03/2019	10:48:12	77.450139	10.8033333333333	44	28	3	185	0.0014493	1.0039E+016	1020100000000000	-2.0288E+017	1.0586E+018	8.19E+042	5.7509E+041	6.3997E+022	1.3652E+022	0.0042792	0.0014347	0.028852	-1.1858E-05	0	1430.109
99	18/03/2019	10:48:54	77.450625	10.815	44	28	6	185	0.00038289	2.5466E+016	269490000000000	1.8845E+018	2.7966E+017	2.888E+043	1.5193E+041	1.7702E+023	3.6065E+021	0.0075519	0.00037902	-0.0010809	-7.1864E-05	0	6086.101
100	18/03/2019	10:49:36	77.451111	10.8266666666667	44	28	12	185	0.00053291	1.8154E+016	375070000000000	8.2328E+017	3.8923E+017	2.3281E+043	2.1146E+041	1.1641E+023	5.0196E+021	0.0070263	0.00052753	0.0024102	-1.5723E-05	0	11403.34
101	18/03/2019	10:50:17	77.451597	10.8383333333333	44	28	18	185	0.00050868	1.2353E+016	358030000000000	8.0919E+016	3.7154E+017	1.3936E+043	2.0184E+041	7.0343E+022	4.7914E+021	0.0094076	0.00050355	0.0030694	-7.2877E-06	0	10839.98
102	18/03/2019	10:51:03	77.452118	10.8508333333333	44	28	30	185	0.00052303	6982800000000000	368120000000000	6.7731E+017	3.8202E+017	5.7353E+042	2.0754E+041	3.8527E+022	4.9265E+021	0.012682	0.00051775	0.0031519	-3.7089E-07	0	10412.09
103	18/03/2019	10:52:32	77.453148	10.8755555555556	44	28	60	185	0.00045657	3041700000000000	321340000000000	4.0342E+017	3.3347E+017	3.2474E+041	1.8116E+041	1.4552E+022	4.3005E+021	0.017128	0.00045196	0.0029623	2.65E-05	0	8455.023
104	18/03/2019	10:53:52	77.454086	10.8980555555556	44	28	89	185	0.00014703	1.4847E+015	103490000000000	6.3676E+016	1.0739E+017	9.9093E+040	5.8343E+040	8.1586E+021	1.385E+021	0.00076045	0.00014555	0.00060598	-3.5096E-06	0	3203.09
105	18/03/2019	10:54:50	77.454745	10.9138888888889	44	28	3	185	0.0011595	1.2302E+016	816080000000000	-9.5128E+017	8.4689E+017	9.3694E+042	4.6008E+041	5.5493E+022	1.0922E+022	0.001062	0.0011478	0.02634	3.7463E-05	0	1792.609
106	18/03/2019	10:55:29	77.455208	10.925	44	28	6	185	0.00044417	2.2862E+016	312620000000000	1.3339E+018	3.2442E+017	3.1571E+043	1.7625E+041	1.876E+023	4.1838E+021	0.0072411	0.00043969	-0.0055594	-4.5198E-05	0	7901.666
107	18/03/2019	10:56:12	77.455694	10.9366666666667	44	28	12	185	0.0005233	1.4505E+016	368310000000000	1.2216E+018	3.8221E+017	2.4847E+043	2.0764E+041	1.1988E+023	4.9291E+021	0.0065457	0.00051802	-0.0014608	-1.1452E-06	0	11491.16
108	18/03/2019	10:56:54	77.456181	10.9483333333333	44	28	18	185	0.00049549	8909300000000000	348740000000000	2.8366E+017	3.6191E+017	1.4613E+043	1.9661E+041	7.4492E+022	4.6672E+021	0.0074867	0.00049049	-0.00081856	5.9827E-06	0	10416.53
109	18/03/2019	10:57:39	77.456701	10.9608333333333	44	28	30	185	0.0005085	5453700000000000	357890000000000	1.4621E+018	3.714E+017	6.6201E+042	2.0177E+041	4.9403E+022	4.7897E+021	0.01177	0.00050337	-0.00086114	8.2931E-06	0	10418.85
110	18/03/2019	10:59:09	77.457743	10.9858333333333	44	28	60	185	0.0004415	575840000000000	310740000000000	7.2195E+017	3.2247E+017	2.3711E+041	1.7519E+041	2.129E+022	4.1586E+021	0.014936	0.00043705	0.0012575	3.5247E-05	0	8110.849
112	18/03/2019	11:01:26	77.45934	11.0241666666667	44	28	3	185	0.0012963	9.3303E+015	912400000000000	4.209E+018	9.4685E+017	9.6442E+042	5.1438E+041	7.3773E+022	1.2211E+022	7.6733E-06	0.0012833	0.025055	2.1439E-05	0	1615.742
113	18/03/2019	11:02:09	77.459826	11.0358333333333	44	28	6	185	0.00045476	2.0941E+016	320070000000000	2.2637E+018	3.3215E+017	3.2258E+043	1.8045E+041	1.8034E+023	4.2835E+021	0.0066377	0.00045017	-0.008768	-5.7519E-05	0	7658.016
114	18/03/2019	11:02:48	77.460289	11.0469444444444	44	28	12	185	0.00052641	1.2879E+016	370500000000000	1.2672E+018	3.8449E+017	2.5326E+043	2.0888E+041	1.188E+023	4.9584E+021	0.0063316	0.0005211	-0.0034366	3.0587E-06	0	11705.96
115	18/03/2019	11:03:31	77.460775	11.0586111111111	44	28	18	185	0.00050687	8038700000000000	356750000000000	9.3142E+016	3.7022E+017	1.4431E+043	2.0113E+041	8.0207E+022	4.7744E+021	0.008228	0.00050176	-0.0029087	7.532E-06	0	10670.36
116	18/03/2019	11:04:16	77.461296	11.0711111111111	44	28	30	185	0.00051049	3293500000000000	359300000000000	4.1783E+017	3.7286E+017	6.1096E+042	2.0256E+041	2.3309E+022	4.8084E+021	0.012493	0.00050534	-0.0012341	7.9718E-06	0	10324.74
117	18/03/2019	11:05:44	77.462326	11.0958333333333	44	28	60	185	0.00045518	79833000000000	320370000000000	4.2477E+017	3.3246E+017	7.3815E+041	1.8061E+041	1.0035E+021	4.2874E+021	0.015648	0.00045059	0.0017408	3.0282E-05	0	8428.654
118	18/03/2019	11:07:05	77.463264	11.1183333333333	44	28	89	185	0.00014726	476680000000000	103650000000000	1.316E+017	1.0756E+017	-1.4707E+041	5.8433E+040	2.8137E+021	1.3871E+021	-0.00085219	0.00014578	0.0016917	-1.8698E-06	0	3103.302
119	18/03/2019	11:08:02	77.463924	11.1341666666667	44	28	3	185	0.0013587	7350800000000000	956280000000000	-8.59E+017	9.9238E+017	1.0162E+043	5.3912E+041	6.4773E+022	1.2798E+022	-0.0022945	0.001345	0.025111	7.8019E-06	0	1552.414
120	18/03/2019	11:08:47	77.464444	11.1466666666667	44	28	6	185	0.00044517	2.0076E+016	313320000000000	2.3597E+018	3.2515E+017	3.2015E+043	1.7664E+041	1.8366E+023	4.1932E+021	0.0075552	0.00044068	-0.0066187	-6.1303E-05	0	7966.619
121	18/03/2019	11:09:32	77.464965	11.1591666666667	44	28	12	185	0.00052998	1.3347E+016	373020000000000	1.339E+018	3.871E+017	2.4504E+043	2.103E+041	1.2042E+023	4.9921E+021	0.0069357	0.00052464	-0.0020615	-3.4895E-06	0	11838.19
122	18/03/2019	11:10:15	77.465451	11.1708333333333	44	28	18	185	0.00051147	7550200000000000	359990000000000	1.4403E+017	3.7358E+017	1.4824E+043	2.0295E+041	7.4889E+022	4.8177E+021	0.0087247	0.00050631	-0.0018739	1.5396E-06	0	10754.01
123	18/03/2019	11:11:00	77.465972	11.1833333333333	44	28	30	185	0.00051097	3248800000000000	359640000000000	2.5751E+018	3.7321E+017	7.6323E+042	2.0275E+041	2.508E+022	4.813E+021	0.012987	0.00050582	-0.0016638	3.0292E-06	0	10244.54
124	18/03/2019	11:12:29	77.467014	11.2083333333333	44	28	60	185	0.00046392	828180000000000	326520000000000	2.4294E+017	3.3885E+017	5.6209E+041	1.8408E+041	-7.1109E+021	4.3698E+021	0.014913	0.00045924	0.001384	1.7976E-05	0	8587.183
125	18/03/2019	11:13:50	77.467951	11.2308333333333	44	28	89	185	0.00016343	363050000000000	115030000000000	-1.1389E+017	1.1937E+017	2.4991E+041	6.4849E+040	8.3232E+021	1.5394E+021	-0.001241	0.00016178	0.0027459	-3.5207E-07	0	3060.274
126	18/03/2019	11:14:47	77.468611	11.2466666666667	44	28	3	185	0.0011558	1.1653E+016	813510000000000	-5.5202E+017	8.4422E+017	1.0389E+043	4.5863E+041	5.5506E+022	1.0887E+022	0.00012745	0.0011442	0.028327	1.7606E-05	0	1774.627
127	18/03/2019	11:15:29	77.469097	11.2583333333333	44	28	6	185	0.000463	2.1438E+016	325870000000000	1.7527E+018	3.3817E+017	3.2102E+043	1.8372E+041	1.8653E+023	4.3611E+021	0.0075393	0.00045833	-0.0054518	-5.9912E-05	0	8119.155
128	18/03/2019	11:16:12	77.469583	11.27	44	28	12	185	0.00053412	1.3704E+016	375930000000000	1.226E+018	3.9012E+017	2.4814E+043	2.1194E+041	1.2239E+023	5.031E+021	0.0071807	0.00052873	-0.00045219	-1.2476E-05	0	11821.78
129	18/03/2019	11:16:53	77.470069	11.2816666666667	44	28	18	185	0.00052073	8445100000000000	366510000000000	1.6381E+017	3.8034E+017	1.4891E+043	2.0663E+041	7.8872E+022	4.9049E+021	0.009588	0.00051548	-0.0001616	-8.4847E-06	0	10996.84
130	18/03/2019	11:17:39	77.47059	11.2941666666667	44	28	30	185	0.00052894	4.3832E+015	372290000000000	-2.884E+017	3.8634E+017	6.2602E+042	2.0988E+041	3.8744E+022	4.9823E+021	0.015184	0.00052361	0.00083412	-3.5397E-06	0	10920.6
131	18/03/2019	11:19:09	77.471632	11.3191666666667	44	28	60	185	0.00046194	989080000000000	325130000000000	-3218500000000000	3.374E+017	2.8739E+041	1.833E+041	1.3744E+020	4.3511E+021	0.01466	0.00045728	-0.00087906	-9.4992E-06	0	8576.764
132	18/03/2019	11:20:30	77.472569	11.3416666666667	44	28	89	185	0.00016653	2621700000000000	117210000000000	7604300000000000	1.2163E+017	3.2438E+041	6.6078E+040	7.8463E+021	1.5686E+021	0.0014684	0.00016485	0.002513	2.2203E-07	0	3431.859
133	18/03/2019	11:21:27	77.473229	11.3575	44	28	3	185	0.001308	9.2545E+015	920580000000000	-2.2521E+018	9.5533E+017	9.2807E+042	5.1899E+041	6.9082E+022	1.232E+022	0.00080396	0.0012948	0.02662	-1.2994E-05	0	1607.084
134	18/03/2019	11:22:08	77.473715	11.3691666666667	44	28	6	185	0.00042654	1.7539E+016	300210000000000	1.7518E+018	3.1154E+017	3.2838E+043	1.6925E+041	1.9221E+023	4.0177E+021	0.0076315	0.00042223	-0.0065015	-7.6335E-05	0	7083.246
135	18/03/2019	11:22:51	77.474201	11.3808333333333	44	28	12	185	0.0005406	1.1454E+016	380490000000000	1.6094E+018	3.9485E+017	2.555E+043	2.1451E+041	1.2484E+023	5.092E+021	0.0074408	0.00053514	-0.0019535	-1.4226E-05	0	11966.05
136	18/03/2019	11:23:32	77.474688	11.3925	44	28	18	185	0.00051311	7479600000000000	361140000000000	1.0207E+018	3.7477E+017	1.5365E+043	2.036E+041	7.9765E+022	4.8331E+021	0.0090009	0.00050793	-0.002139	-1.203E-05	0	11007.94
137	18/03/2019	11:24:17	77.475208	11.405	44	28	30	185	0.00052098	4.4427E+015	366680000000000	4.6137E+017	3.8052E+017	7.0176E+042	2.0672E+041	4.2739E+022	4.9072E+021	0.012868	0.00051572	-0.0011026	-3.3411E-06	0	10802.85
138	18/03/2019	11:25:47	77.47625	11.43	44	28	60	185	0.00051283	2876200000000000	360940000000000	2.5451E+018	3.7457E+017	1.5247E+042	2.0349E+041	1.3503E+022	4.8304E+021	0.015201	0.00050765	-0.00078923	-9.2294E-06	0	9088.107
139	18/03/2019	11:27:09	77.477187	11.4525	44	28	89	185	0.0001792	3079000000000000	126130000000000	-5.5915E+017	1.3089E+017	-5.902E+040	7.1106E+040	1.3629E+022	1.6879E+021	0.0010857	0.00017739	0.00221	1.2911E-05	0	3477.032
140	18/03/2019	11:28:05	77.477847	11.4683333333333	44	28	3	185	0.0013961	9.0742E+015	982620000000000	4.082E+017	1.0197E+018	9.7453E+042	5.5397E+041	4.6088E+022	1.315E+022	-0.0059916	0.001382	0.024429	-1.1424E-05	0	1524.259
141	18/03/2019	11:28:47	77.478333	11.48	44	28	6	185	0.00045076	1.9495E+016	317260000000000	2.4854E+018	3.2923E+017	3.2328E+043	1.7886E+041	1.8222E+023	4.2458E+021	0.0088845	0.00044621	-0.010014	-6.4995E-05	0	7375.867
142	18/03/2019	11:30:12	77.479306	11.5033333333333	44	28	18	185	0.00052145	8988300000000001	367010000000000	1.1061E+018	3.8086E+017	1.5168E+043	2.0691E+041	7.3741E+022	4.9116E+021	0.0096175	0.00051619	-0.0030133	4.5296E-06	0	11251.07
143	18/03/2019	11:30:56	77.479826	11.5158333333333	44	28	30	185	0.00055195	5785700000000000	388480000000000	1.5164E+018	4.0315E+017	6.8631E+042	2.1901E+041	1.6672E+022	5.199E+021	0.012355	0.00054639	-0.0022101	8.9706E-06	0	11534.6
144	18/03/2019	11:32:27	77.480868	11.5408333333333	44	28	60	185	0.00047779	2419900000000000	336280000000000	6.6056E+017	3.4898E+017	3.9732E+041	1.8959E+041	-3.7539E+021	4.5004E+021	0.015294	0.00047297	-0.0034507	7.9873E-06	0	8732.55
145	18/03/2019	11:33:47	77.481806	11.5633333333333	44	28	89	185	0.00016294	1559300000000000	114680000000000	-3.9802E+017	1.1901E+017	5.4789E+040	6.4654E+040	1.251E+022	1.5348E+021	0.00090894	0.0001613	-0.0006755	3.3168E-05	0	3299.629
146	18/03/2019	11:34:44	77.482465	11.5791666666667	44	28	3	185	0.0010459	1.049E+016	736100000000000	-2.8686E+016	7.6389E+017	1.0494E+043	4.1499E+041	4.7585E+022	9.8512E+021	-0.00026521	0.0010353	0.023363	2.4707E-05	0	1882.29
147	18/03/2019	11:35:27	77.482951	11.5908333333333	44	28	6	185	0.0004676	1.8918E+016	329110000000000	1.9076E+018	3.4153E+017	3.2424E+043	1.8554E+041	1.8222E+023	4.4045E+021	0.0085137	0.00046288	-0.0090059	-3.8932E-05	0	8558.906
148	18/03/2019	11:36:51	77.483924	11.6141666666667	44	28	18	185	0.00052096	8069900000000001	366670000000000	1.0946E+018	3.8051E+017	1.5161E+043	2.0672E+041	7.4194E+022	4.9071E+021	0.0093434	0.00051571	-0.0048886	1.0843E-05	0	11250.75
149	18/03/2019	11:37:36	77.484444	11.6266666666667	44	28	30	185	0.00055646	4860300000000001	391660000000000	1.8767E+018	4.0644E+017	6.138E+042	2.208E+041	7.998E+021	5.2415E+021	0.013204	0.00055085	-0.00506	1.9866E-05	0	11537.86
150	18/03/2019	11:39:05	77.485486	11.6516666666667	44	28	60	185	0.00062875	2811800000000000	442530000000000	-2.3036E+018	4.5924E+017	1.0061E+042	2.4949E+041	7.5299E+022	5.9224E+021	0.024624	0.00062241	-0.0012343	7.4073E-05	0	9427.977
151	18/03/2019	11:40:26	77.486424	11.6741666666667	44	28	89	185	0.00017406	2867700000000000	122510000000000	-1.1028E+017	1.2713E+017	1.4484E+041	6.9066E+040	7.7232E+021	1.6395E+021	0.0016077	0.0001723	-0.00018782	4.558E-05	0	3457.985
152	18/03/2019	11:41:23	77.487083	11.69	44	28	3	185	0.0011526	9.6853E+015	811240000000000	2.2659E+018	8.4186E+017	1.1893E+043	4.5735E+041	6.3853E+022	1.0857E+022	-0.00078148	0.001141	0.022927	1.8286E-05	0	1781.669
153	18/03/2019	11:42:05	77.487569	11.7016666666667	44	28	6	185	0.00047168	1.8621E+016	331980000000000	2.8545E+018	3.4451E+017	3.274E+043	1.8716E+041	1.8747E+023	4.4428E+021	0.0085444	0.00046692	-0.010802	-5.5502E-05	0	8094.664
154	18/03/2019	11:43:29	77.488542	11.725	44	28	18	185	0.00052849	7932600000000000	371960000000000	1.5111E+018	3.8601E+017	1.5936E+043	2.097E+041	7.6106E+022	4.978E+021	0.0087655	0.00052315	-0.0053993	9.1006E-06	0	11153.26
155	18/03/2019	11:44:14	77.489063	11.7375	44	28	30	185	0.00052931	4413800000000000	372540000000000	1.3061E+018	3.866E+017	6.9094E+042	2.1003E+041	4.0964E+022	4.9857E+021	0.014876	0.00052397	-0.0054032	1.8014E-05	0	11087.14
156	18/03/2019	11:45:44	77.490104	11.7625	44	28	60	185	0.00098048	3438100000000000	690090000000000	-1.6429E+019	7.1614E+017	-7.9579E+042	3.8905E+041	2.978E+022	9.2354E+021	0.022096	0.00097059	0.010654	0.00023523	0	10842.44
157	18/03/2019	11:47:06	77.491042	11.785	44	28	89	185	0.00019569	2.0224E+015	137730000000000	2.9597E+017	1.4293E+017	6.5871E+041	7.765E+040	4.679E+021	1.8433E+021	-0.0017297	0.00019372	-0.0022855	6.4447E-05	0	3346.459
158	18/03/2019	11:48:02	77.491701	11.8008333333333	44	28	3	185	0.0010059	8599299999999999	708000000000000	2.5452E+017	7.3472E+017	1.2495E+043	3.9915E+041	7.858E+022	9.475E+021	0.0016699	0.00099577	0.017198	2.5415E-05	0	1949.479
159	18/03/2019	11:48:42	77.492164	11.8119444444444	44	28	6	185	0.00048345	1.7116E+016	340260000000000	2.6306E+018	3.5311E+017	3.4114E+043	1.9183E+041	1.917E+023	4.5537E+021	0.008349	0.00047857	-0.013	-3.4801E-05	0	8524.068
160	18/03/2019	11:50:06	77.493137	11.8352777777778	44	28	18	185	0.00052687	6930300000000000	370830000000000	2.0187E+018	3.8482E+017	1.5801E+043	2.0906E+041	7.2257E+022	4.9627E+021	0.0087666	0.00052155	-0.0068872	2.2652E-05	0	11235.06
161	18/03/2019	11:50:51	77.493657	11.8477777777778	44	28	30	185	0.00054727	4.3801E+015	385190000000000	6.4643E+017	3.9973E+017	6.5185E+042	2.1716E+041	3.5634E+022	5.1549E+021	0.013249	0.00054175	-0.0062818	2.9408E-05	0	11584.3
162	18/03/2019	11:53:43	77.495648	11.8955555555556	44	28	89	185	0.00019593	1168700000000000	137900000000000	1.0076E+018	1.4311E+017	1.1618E+042	7.7745E+040	-1.2442E+021	1.8455E+021	-0.0013748	0.00019395	-0.0017024	7.1273E-05	0	3367.82
163	18/03/2019	11:54:40	77.496308	11.9113888888889	44	28	3	185	0.0013686	8287400000000000	963270000000000	4.6939E+017	9.9963E+017	1.0868E+043	5.4306E+041	6.9225E+022	1.2891E+022	-0.0022762	0.0013548	0.019114	2.9169E-05	0	1576.292
164	18/03/2019	11:55:23	77.496794	11.9230555555556	44	28	6	185	0.00047174	1.7811E+016	332020000000000	2.8963E+018	3.4455E+017	3.406E+043	1.8718E+041	1.8864E+023	4.4434E+021	0.0090677	0.00046698	-0.015267	-3.321E-05	0	8208.284
165	18/03/2019	11:56:47	77.497766	11.9463888888889	44	28	18	185	0.0005388	7667200000000000	379220000000000	1.6275E+018	3.9354E+017	1.5976E+043	2.1379E+041	6.7719E+022	5.0751E+021	0.0089028	0.00053336	-0.0097971	2.6136E-05	0	11467.34
166	18/03/2019	12:00:23	77.500266	12.0063888888889	44	28	89	185	0.00020856	707230000000000	146790000000000	-1.6007E+017	1.5233E+017	1.204E+042	8.2754E+040	3.5055E+021	1.9644E+021	0.00034889	0.00020645	-0.0015818	9.2777E-05	0	3351.517
167	18/03/2019	12:01:20	77.500926	12.0222222222222	44	28	3	185	0.0013323	9.536E+015	937690000000000	2.96E+018	9.7309E+017	1.2187E+043	5.2864E+041	9.3013E+022	1.2549E+022	-0.0051081	0.0013188	0.019885	5.1799E-05	0	1658.32
168	18/03/2019	12:02:01	77.501412	12.0338888888889	44	28	6	185	0.00046259	1.7745E+016	325580000000000	2.879E+018	3.3787E+017	3.5293E+043	1.8355E+041	1.9457E+023	4.3572E+021	0.0084821	0.00045792	-0.016767	-3.6476E-05	0	7971.365
169	18/03/2019	12:03:26	77.502384	12.0572222222222	44	28	18	185	0.0005252	7449400000000000	369650000000000	2.5409E+018	3.836E+017	1.7046E+043	2.084E+041	6.8815E+022	4.947E+021	0.0072917	0.0005199	-0.008985	2.7669E-05	0	11240.24
170	18/03/2019	12:04:09	77.502894	12.0694444444444	44	28	30	185	0.00053488	4.1061E+015	376460000000000	5.795E+017	3.9067E+017	7.5001E+042	2.1224E+041	4.3872E+022	5.0382E+021	0.014197	0.00052948	-0.0089164	3.7201E-05	0	10939.97
171	18/03/2019	12:07:00	77.504873	12.1169444444444	44	28	89	185	0.00026877	551270000000000	189170000000000	8.4606E+017	1.9631E+017	6.8439E+041	1.0665E+041	2.3266E+021	2.5316E+021	0.00045462	0.00026606	0.0011791	0.0001223	0	3286.58
172	18/03/2019	12:07:58	77.505532	12.1327777777778	44	28	3	185	0.0013874	7594700000000000	976530000000000	5.4196E+018	1.0134E+018	1.1414E+043	5.5053E+041	6.3296E+022	1.3069E+022	-0.0042078	0.0013734	0.018974	2.5626E-05	0	1542.223
173	18/03/2019	12:08:37	77.505995	12.1438888888889	44	28	6	185	0.00042969	1.7445E+016	302430000000000	2.6955E+018	3.1385E+017	3.3968E+043	1.705E+041	1.9086E+023	4.0474E+021	0.007866	0.00042536	-0.015676	-3.358E-05	0	7185.278
174	18/03/2019	12:10:01	77.506968	12.1672222222222	44	28	18	185	0.00053135	7020900000000000	373980000000000	1.9117E+018	3.881E+017	1.7188E+043	2.1084E+041	7.1322E+022	5.005E+021	0.0091274	0.00052599	-0.010301	3.134E-05	0	11498.22
175	18/03/2019	12:10:47	77.507488	12.1797222222222	44	28	30	185	0.00051947	2706400000000000	365620000000000	2.6321E+018	3.7942E+017	8.2719E+042	2.0613E+041	3.2868E+022	4.8931E+021	0.011964	0.00051423	-0.009615	4.2594E-05	0	10707.56
176	18/03/2019	12:11:31	77.508009	12.1922222222222	44	28	48	185	0.00054369	631950000000000	382660000000000	2.7938E+018	3.9711E+017	3.876E+042	2.1573E+041	2.6342E+021	5.1211E+021	0.016297	0.0005382	-0.012089	1.1449E-05	0	10346.4
177	18/03/2019	12:13:37	77.509468	12.2272222222222	44	28	89	185	0.00031648	390630000000000	222740000000000	2.0668E+018	2.3115E+017	5.1718E+041	1.2558E+041	-5.0981E+021	2.981E+021	-0.003185	0.00031328	0.0013851	0.00015034	0	3300.679
178	18/03/2019	12:14:35	77.510127	12.2430555555556	44	28	3	185	0.0014363	8723599999999999	1.0109E+015	3.1381E+018	1.0491E+018	1.2698E+043	5.6993E+041	7.5776E+022	1.3529E+022	-0.0073212	0.0014218	0.018176	4.691E-05	0	1546.668
179	18/03/2019	12:15:16	77.510613	12.2547222222222	44	28	6	185	0.0004735	1.8403E+016	333260000000000	3.8249E+018	3.4584E+017	3.5994E+043	1.8788E+041	1.9015E+023	4.46E+021	0.0074549	0.00046872	-0.019025	-2.2489E-05	0	7920.624
180	18/03/2019	12:16:40	77.511586	12.2780555555556	44	28	18	185	0.00053976	7481300000000000	379900000000000	2.1771E+018	3.9424E+017	1.7837E+043	2.1417E+041	7.1073E+022	5.0841E+021	0.0096528	0.00053431	-0.012383	5.0982E-05	0	11788.02
181	18/03/2019	12:17:26	77.512106	12.2905555555556	44	28	30	185	0.00050595	3512600000000000	356100000000000	1.5736E+018	3.6954E+017	7.6278E+042	2.0076E+041	3.5798E+022	4.7657E+021	0.012435	0.00050084	-0.012511	5.1879E-05	0	10305.45
182	18/03/2019	12:18:11	77.512627	12.3030555555556	44	28	48	185	0.00054558	1072600000000000	383990000000000	-4097500000000000	3.9849E+017	1.6505E+042	2.1648E+041	-2.6423E+021	5.139E+021	0.014947	0.00054008	-0.015146	2.4119E-05	0	10158.66
183	18/03/2019	12:20:17	77.514086	12.3380555555556	44	28	89	185	0.00028318	472360000000000	199310000000000	4.5447E+017	2.0683E+017	1.6361E+042	1.1236E+041	-2.519E+021	2.6673E+021	-0.0035112	0.00028032	-0.0016682	0.00016129	0	3093.861
184	18/03/2019	12:21:14	77.514745	12.3538888888889	44	28	3	185	0.0013076	9.052E+015	920330000000000	3.9116E+018	9.5507E+017	1.4371E+043	5.1885E+041	6.02E+022	1.2317E+022	-0.0083607	0.0012944	0.017283	8.7556E-05	0	1676.543
185	18/03/2019	12:21:56	77.515231	12.3655555555556	44	28	6	185	0.0004824	1.7209E+016	339530000000000	3.0896E+018	3.5234E+017	3.6883E+043	1.9141E+041	1.9548E+023	4.5439E+021	0.0074412	0.00047753	-0.018945	2.6917E-06	0	8589.43
186	18/03/2019	12:23:20	77.516204	12.3888888888889	44	28	18	185	0.00053404	7533700000000000	375880000000000	2.0586E+018	3.9006E+017	1.7845E+043	2.1191E+041	7.7641E+022	5.0303E+021	0.0089001	0.00052866	-0.013465	4.3084E-05	0	11595.9
187	18/03/2019	12:24:04	77.516725	12.4013888888889	44	28	30	185	0.00051052	4521100000000000	359320000000000	1.7688E+018	3.7288E+017	8.2181E+042	2.0257E+041	2.2664E+022	4.8088E+021	0.010935	0.00050537	-0.011321	6.5678E-05	0	10702.34
188	18/03/2019	12:24:50	77.517245	12.4138888888889	44	28	48	185	0.00047564	785440000000000	334770000000000	8.451E+017	3.474E+017	3.7976E+042	1.8873E+041	2.7011E+022	4.4801E+021	0.014369	0.00047084	-0.013574	4.8071E-05	0	8712.88
